/media/mike/WD_4TB/karyon_longread/concat_mrl20k_q15l15k_pepper/outputs/redundans/scaffolds.reduced.fasta /media/mike/WD_4TB/karyon_longread/data/assemblies/concat_mrl20k_q15l15k_pepper.fasta
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
1	655686	948948	293263	655686	655686	100.00	7631931	948948	8.59	69.10	redundans_scaffold00001	138
58357	75039	224753	208085	16683	16669	96.31	7631931	705048	0.22	2.36	redundans_scaffold00001	716
313102	329310	89816	73289	16209	16528	93.30	7631931	741226	0.21	2.23	redundans_scaffold00001	702
655702	1115405	705048	245345	459704	459704	100.00	7631931	705048	6.02	65.20	redundans_scaffold00001	716
961866	979074	26052	8827	17209	17226	99.12	7631931	447108	0.23	3.85	redundans_scaffold00001	1226
962134	979075	67110	84047	16942	16938	98.16	7631931	948948	0.22	1.78	redundans_scaffold00001	138
1115421	1266966	1	151546	151546	151546	100.00	7631931	405336	1.99	37.39	redundans_scaffold00001	1354
1266982	1735038	1	468057	468057	468057	100.00	7631931	526910	6.13	88.83	redundans_scaffold00001	340
1591931	1618803	343061	370096	26873	27036	98.53	7631931	405336	0.35	6.67	redundans_scaffold00001	1354
1735054	1754514	101101	81641	19461	19461	100.00	7631931	101101	0.25	19.25	redundans_scaffold00001	1386
1754530	1959729	322671	117472	205200	205200	100.00	7631931	322671	2.69	63.59	redundans_scaffold00001	544
1959745	2108373	1	148629	148629	148629	100.00	7631931	148629	1.95	100.00	redundans_scaffold00001	1490
2110695	4495893	1	2385199	2385199	2385199	100.00	7631931	2397461	31.25	99.49	redundans_scaffold00001	146
2243708	2264946	12430	34444	21239	22015	94.66	7631931	420722	0.28	5.23	redundans_scaffold00001	506
2516472	2535790	288448	307852	19319	19405	96.90	7631931	420722	0.25	4.61	redundans_scaffold00001	506
2590195	2606915	370562	387262	16721	16701	98.50	7631931	420722	0.22	3.97	redundans_scaffold00001	506
2796752	2816601	275307	255103	19850	20205	94.32	7631931	381258	0.26	5.30	redundans_scaffold00001	600
3043231	3067068	72866	49025	23838	23842	97.39	7631931	381258	0.31	6.25	redundans_scaffold00001	600
3100223	3116076	350799	366619	15854	15821	97.66	7631931	456748	0.21	3.46	redundans_scaffold00001	660
3335336	3352390	412773	429775	17055	17003	99.05	7631931	1062192	0.22	1.60	redundans_scaffold00001	26
3352389	3370178	1079778	1097563	17790	17786	99.51	7631931	1233938	0.23	1.44	redundans_scaffold00001	48
3382462	3405923	739880	716631	23462	23250	95.82	7631931	801196	0.31	2.90	redundans_scaffold00001	968
3587381	3602392	692549	677487	15012	15063	91.52	7631931	1200772	0.20	1.25	redundans_scaffold00001	136
3590235	3612274	551981	529983	22040	21999	96.85	7631931	801196	0.29	2.75	redundans_scaffold00001	968
4157956	4176850	72114	53208	18895	18907	94.69	7631931	801196	0.25	2.36	redundans_scaffold00001	968
4495909	5230665	1	734757	734757	734757	100.00	7631931	1233938	9.63	59.55	redundans_scaffold00001	48
5230681	5943613	1	712933	712933	712933	100.00	7631931	712950	9.34	100.00	redundans_scaffold00001	414
5464047	5480329	214097	197763	16283	16335	97.74	7631931	222266	0.21	7.35	redundans_scaffold00001	640
5464359	5480329	457636	473638	15971	16003	97.58	7631931	568477	0.21	2.82	redundans_scaffold00001	94
5884002	5901000	412773	429774	16999	17002	99.66	7631931	1062192	0.22	1.60	redundans_scaffold00001	26
5884002	5899983	417879	433845	15982	15967	99.71	7631931	584395	0.21	2.73	redundans_scaffold00001	294
5943629	6049503	1	105875	105875	105875	100.00	7631931	105898	1.39	99.98	redundans_scaffold00001	1764
