/media/mike/WD_4TB/karyon_longread/concat_mrl20k_q15l15k_pepper/outputs/redundans/scaffolds.reduced.fasta /media/mike/WD_4TB/karyon_longread/data/assemblies/concat_mrl20k_q15l15k_pepper.fasta
NUCMER

[S1]	[E1]	[S2]	[E2]	[LEN 1]	[LEN 2]	[% IDY]	[LEN R]	[LEN Q]	[COV R]	[COV Q]	[TAGS]
1	655686	948948	293263	655686	655686	100.00	7631931	948948	8.59	69.10	redundans_scaffold00001	138
5612	7583	24786	26778	1972	1993	88.97	7631931	38567	0.03	5.17	redundans_scaffold00001	836
8049	9834	27260	29002	1786	1743	89.53	7631931	38567	0.02	4.52	redundans_scaffold00001	836
16153	17195	35283	36326	1043	1044	86.37	7631931	38567	0.01	2.71	redundans_scaffold00001	836
17437	18484	36319	37376	1048	1058	88.66	7631931	38567	0.01	2.74	redundans_scaffold00001	836
37083	38706	11936	13589	1624	1654	89.16	7631931	139340	0.02	1.19	redundans_scaffold00001	1214
37392	38706	11721	13034	1315	1314	88.81	7631931	44987	0.02	2.92	redundans_scaffold00001	1212
50964	52798	29496	31232	1835	1737	84.62	7631931	139340	0.02	1.25	redundans_scaffold00001	1214
51043	52753	26434	28122	1711	1689	88.43	7631931	44987	0.02	3.75	redundans_scaffold00001	1212
51192	52478	246091	244801	1287	1291	94.33	7631931	705048	0.02	0.18	redundans_scaffold00001	716
51290	52798	38407	39931	1509	1525	87.96	7631931	44987	0.02	3.39	redundans_scaffold00001	1212
56610	57856	227040	225798	1247	1243	98.72	7631931	705048	0.02	0.18	redundans_scaffold00001	716
58357	75039	224753	208085	16683	16669	96.31	7631931	705048	0.22	2.36	redundans_scaffold00001	716
62991	64831	46322	48163	1841	1842	92.38	7631931	139340	0.02	1.32	redundans_scaffold00001	1214
65096	72474	48474	55858	7379	7385	90.48	7631931	139340	0.10	5.30	redundans_scaffold00001	1214
72615	75760	55901	58967	3146	3067	88.78	7631931	139340	0.04	2.20	redundans_scaffold00001	1214
79065	80368	8022	9321	1304	1300	98.24	7631931	66748	0.02	1.95	redundans_scaffold00001	1542
81691	84885	202125	198867	3195	3259	91.09	7631931	705048	0.04	0.46	redundans_scaffold00001	716
85056	87488	198171	195645	2433	2527	90.59	7631931	705048	0.03	0.36	redundans_scaffold00001	716
94272	95540	179041	177758	1269	1284	93.47	7631931	705048	0.02	0.18	redundans_scaffold00001	716
95821	96885	177490	176389	1065	1102	90.03	7631931	705048	0.01	0.16	redundans_scaffold00001	716
98114	99265	173784	172631	1152	1154	92.58	7631931	705048	0.02	0.16	redundans_scaffold00001	716
100005	101646	70186	71807	1642	1622	90.88	7631931	139340	0.02	1.16	redundans_scaffold00001	1214
100054	106998	172250	165094	6945	7157	93.62	7631931	705048	0.09	1.02	redundans_scaffold00001	716
131208	138788	164038	156296	7581	7743	94.26	7631931	705048	0.10	1.10	redundans_scaffold00001	716
139151	141704	156114	153539	2554	2576	91.45	7631931	705048	0.03	0.37	redundans_scaffold00001	716
150217	159160	148765	139498	8944	9268	92.18	7631931	705048	0.12	1.31	redundans_scaffold00001	716
158535	161256	106300	103559	2722	2742	97.42	7631931	705048	0.04	0.39	redundans_scaffold00001	716
161446	165651	103558	99321	4206	4238	96.66	7631931	705048	0.06	0.60	redundans_scaffold00001	716
166947	169541	80974	78324	2595	2651	93.90	7631931	705048	0.03	0.38	redundans_scaffold00001	716
169938	172852	77543	74627	2915	2917	99.21	7631931	705048	0.04	0.41	redundans_scaffold00001	716
181458	182692	74614	73333	1235	1282	90.82	7631931	705048	0.02	0.18	redundans_scaffold00001	716
182917	184445	72269	70727	1529	1543	95.73	7631931	705048	0.02	0.22	redundans_scaffold00001	716
188144	190979	68768	65901	2836	2868	95.86	7631931	705048	0.04	0.41	redundans_scaffold00001	716
190984	193762	65166	62382	2779	2785	99.03	7631931	705048	0.04	0.40	redundans_scaffold00001	716
193763	195370	62273	60583	1608	1691	92.64	7631931	705048	0.02	0.24	redundans_scaffold00001	716
